horizon,feature,MI_score,MI_rank,MI_runtime_seconds
28,rolling_mean_14,0.343569859233134,1,278.0109689235687
28,rolling_mean_28,0.340969259112037,2,278.0109689235687
28,rolling_mean_7,0.3335943194736206,3,278.0109689235687
28,lag_7,0.27195472129243914,4,278.0109689235687
28,lag_1,0.26913061153471585,5,278.0109689235687
28,lag_14,0.25013484597952207,6,278.0109689235687
28,rolling_std_28,0.23448522306392405,7,278.0109689235687
28,rolling_std_14,0.22854698167754073,8,278.0109689235687
28,lag_28,0.22703212893682778,9,278.0109689235687
28,rolling_std_7,0.21100082711205026,10,278.0109689235687
28,price_rolling_mean_28,0.16580263694568131,11,278.0109689235687
28,sell_price,0.16296033239313878,12,278.0109689235687
28,price_lag_7,0.16256641285166484,13,278.0109689235687
28,item_id_FOODS_3_586,0.02585143001912371,14,278.0109689235687
28,item_id_FOODS_3_090,0.025194426221204935,15,278.0109689235687
28,cat_id_FOODS,0.022551150199979553,16,278.0109689235687
28,dept_id_FOODS_3,0.02004636454594344,17,278.0109689235687
28,year,0.017540590440747295,18,278.0109689235687
28,dept_id_HOBBIES_1,0.015763070199542817,19,278.0109689235687
28,dayofweek,0.015631194600929987,20,278.0109689235687
28,dow_sin,0.01562452491837174,21,278.0109689235687
28,wday,0.014204915102263627,22,278.0109689235687
28,is_weekend,0.01347439453893795,23,278.0109689235687
28,item_id_FOODS_3_252,0.013201677560763514,24,278.0109689235687
28,cat_id_HOBBIES,0.012908210620550697,25,278.0109689235687
28,item_id_FOODS_3_694,0.012362412963374148,26,278.0109689235687
28,item_id_FOODS_3_555,0.011622046472323788,27,278.0109689235687
28,item_id_FOODS_3_714,0.009628682986256187,28,278.0109689235687
28,weekofyear,0.009299231384529705,29,278.0109689235687
28,cat_id_HOUSEHOLD,0.00790505469054903,30,278.0109689235687
28,price_rolling_std_28,0.007098010394614107,31,278.0109689235687
28,item_id_FOODS_3_377,0.006848498186598384,32,278.0109689235687
28,dept_id_HOUSEHOLD_1,0.006838171792155734,33,278.0109689235687
28,item_id_FOODS_3_080,0.005903819518344733,34,278.0109689235687
28,store_id_WI_1,0.0058356185297050445,35,278.0109689235687
28,item_id_FOODS_3_202,0.005794585309793376,36,278.0109689235687
28,item_id_FOODS_3_120,0.005732722134488277,37,278.0109689235687
28,item_id_FOODS_3_362,0.005660184540328572,38,278.0109689235687
28,state_id_WI,0.005295480539617259,39,278.0109689235687
28,item_id_FOODS_3_282,0.0046830853450234855,40,278.0109689235687
28,item_id_HOBBIES_1_278,0.004479796860628049,41,278.0109689235687
28,month,0.004375576627134059,42,278.0109689235687
28,item_id_HOUSEHOLD_1_110,0.004316538524483882,43,278.0109689235687
28,item_id_FOODS_3_668,0.004107989856209748,44,278.0109689235687
28,item_id_FOODS_3_587,0.003990588380914595,45,278.0109689235687
28,item_id_FOODS_3_219,0.003931234942363915,46,278.0109689235687
28,state_id_CA,0.003774808136514096,47,278.0109689235687
28,month_cos,0.003683763673736351,48,278.0109689235687
28,item_id_FOODS_3_412,0.0034123167215573957,49,278.0109689235687
28,price_change_7,0.0032287864776057162,50,278.0109689235687
28,item_id_FOODS_3_295,0.0030424917722955414,51,278.0109689235687
28,item_id_HOUSEHOLD_1_439,0.0030084442001729883,52,278.0109689235687
28,item_id_HOUSEHOLD_1_334,0.0029524862703311783,53,278.0109689235687
28,quarter,0.0029492654960074915,54,278.0109689235687
28,item_id_FOODS_3_752,0.002927290865041954,55,278.0109689235687
28,item_id_FOODS_3_376,0.002752341411118131,56,278.0109689235687
28,item_id_FOODS_3_042,0.002687553907104956,57,278.0109689235687
28,item_id_FOODS_3_226,0.0025902334874556843,58,278.0109689235687
28,item_id_HOUSEHOLD_1_179,0.0025094798200315793,59,278.0109689235687
28,item_id_FOODS_3_811,0.0024720973264509283,60,278.0109689235687
28,item_id_FOODS_3_607,0.002455880875326777,61,278.0109689235687
28,item_id_FOODS_3_030,0.002407346131886534,62,278.0109689235687
28,item_id_FOODS_3_635,0.0021677114619018667,63,278.0109689235687
28,dow_cos,0.0021413249172494986,64,278.0109689235687
28,item_id_FOODS_3_764,0.0021303272622352765,65,278.0109689235687
28,item_id_FOODS_3_499,0.002071793315951531,66,278.0109689235687
28,item_id_FOODS_3_711,0.002056891260128424,67,278.0109689235687
28,store_id_CA_1,0.002033682299282802,68,278.0109689235687
28,item_id_HOUSEHOLD_1_327,0.001970344515104472,69,278.0109689235687
28,item_id_FOODS_3_329,0.0019235067133536177,70,278.0109689235687
28,item_id_FOODS_3_281,0.0018630142554592055,71,278.0109689235687
28,item_id_FOODS_3_739,0.001850132867333265,72,278.0109689235687
28,item_id_FOODS_3_808,0.0017696466533614341,73,278.0109689235687
28,item_id_FOODS_3_462,0.0017565035368072301,74,278.0109689235687
28,item_id_FOODS_3_744,0.001755203344973033,75,278.0109689235687
28,item_id_FOODS_3_406,0.0017462520851792007,76,278.0109689235687
28,item_id_FOODS_3_491,0.0016668030781055165,77,278.0109689235687
