horizon,model,n_features,feature_set,RMSE_mean,RMSE_std,MAE_mean,MAE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std,training_time_mean,training_time_std,prediction_time_mean,prediction_time_std
1,Boosting_All,60,All,204.641436967787,28.119866092628968,123.99967776906587,14.062773007212257,11.60084397171861,3.9304003438681874,0.9643051402453325,0.01490171892699565,4.861229610443115,0.557101261203458,0.01838331222534174,0.003660304362291244
1,MI_MLP_Top10,10,Top10,319.434053587243,51.49538707079863,193.79215907240612,28.61457959244199,16.14594324038061,3.807947664290933,0.9117741374446243,0.04061309016612414,96.64108476638793,12.90974613763299,0.0051721096038818,0.0007816114245351342
1,MI_MLP_Top15,15,Top15,318.4496853942918,44.27454931261195,191.53286358711557,23.706656246086183,16.051064262353954,3.744970396876972,0.912810010756715,0.038012257537342505,124.05406517982483,8.45076692225261,0.00669598579406732,0.0011147648016052046
1,MI_MLP_Top20,20,Top20,317.62419648034273,41.73478769915798,191.33323985217083,21.306567884294108,15.900795972203998,3.516163970857275,0.9134798592552646,0.03677914885985142,78.82610177993774,21.275207682153194,0.00862755775451654,0.00472478680976554
1,MLP_All,60,All,234.30264049220176,75.63509860011138,136.80311381822668,31.226357687271054,12.622263302765402,4.815998958956094,0.9468634889235952,0.04944156230701648,81.1621383190155,20.234188990914525,0.007193374633789019,0.0003550315790178178
1,RandomForest_All,60,All,244.36674718027834,76.76350733912383,139.15303302886008,30.594509376623353,12.228315975468636,4.695058711393837,0.9423111877936728,0.053379668108165176,116.46091656684875,5.727464510134943,0.043154811859130796,0.010993147091146521
1,Ridge_All,60,All,295.99529697405234,47.591016492130535,185.1054976543365,22.435229220308944,18.864348150318307,5.530203516430498,0.9232572006506766,0.04058633282065181,0.33640127182006835,0.3475295274405855,0.00668807029724118,0.002724543730304699
7,Boosting_All,60,All,221.7368409215873,27.15580206249375,132.3237191586122,12.102377668464076,12.116987075329195,3.656396923599326,0.9582204750219233,0.017084566636513483,4.7847779273986815,0.3988050485164244,0.016808271408081,0.0004653388327907628
7,MI_MLP_Top10,10,Top10,275.189922965727,59.509707711269634,161.83111539385064,28.605458696014765,13.921988403371902,3.9311099417910857,0.9314944451401613,0.04477484807326128,63.23129673004151,13.765077540094085,0.00562767982482904,0.0014069332607156326
7,MI_MLP_Top15,15,Top15,275.0947173838043,57.934836298909374,161.0482358406835,27.721688550795957,13.776541214477954,3.8793934430284605,0.9317937760289248,0.04358911574993115,74.50684571266174,12.921701273488585,0.004457235336303661,0.0001233524135919027
