model,demand_regime,n_features,RMSE_mean,RMSE_std,MAE_mean,MAE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std,training_time_mean,prediction_time_mean
Boosting_All,All_Regimes,132,8.829000746185711,0.5995259187829608,5.907081493906213,0.22912231714153844,65.17405253107152,1.4661427950958983,0.5617976209600684,0.0633188211419417,28.39117455482483,0.045792579650878906
Boosting_All,Erratic,132,7.901544029969414,0.2597455678085364,5.542431609717764,0.3511262307163372,90.35215423204194,9.286330197242279,0.17244761204118605,0.15688699440136258,28.39117455482483,0.045792579650878906
Boosting_All,Intermittent,132,10.877051320472233,1.61747599425307,6.706528559066467,0.6673551148878747,46.16381759957684,5.723065334215881,0.5010619102522952,0.10252920200580566,28.39117455482483,0.045792579650878906
Boosting_All,Lumpy,132,7.893400244031945,0.45758971630156353,5.577179493021185,0.332561181912381,94.14806511558974,4.145057233844193,0.17426903827416176,0.07926863036839116,28.39117455482483,0.045792579650878906
Boosting_All,Smooth,132,8.21520615288042,0.6649294073820755,5.802186313819436,0.3124309814869014,30.03217317707755,2.0876559030670148,0.5991131376504107,0.07140727394097043,28.39117455482483,0.045792579650878906
MI_MLP_Top10,All_Regimes,10,8.994645103132553,0.4582855563186418,6.083158981789204,0.19014539206557662,67.04986946874898,1.659937043484393,0.5459029265782167,0.0501954799933134,113.19714347521465,0.011559327443440756
MI_MLP_Top10,Erratic,10,8.038583272045626,0.41667918281396926,5.5895841587070025,0.4385572476039515,91.60488726696356,10.322823220024805,0.14857216269806495,0.12466397158766392,113.19714347521465,0.011559327443440756
MI_MLP_Top10,Intermittent,10,10.860223125044117,1.1053138982614124,6.8309599550933875,0.4465277535025355,47.90032101531111,5.487840122594904,0.5037873589461183,0.05671120524862052,113.19714347521465,0.011559327443440756
MI_MLP_Top10,Lumpy,10,8.149317130704068,0.4391680703734354,5.775696866880998,0.2702709649924492,96.98007940838791,5.342497368178166,0.11946785843779122,0.08587349215144773,113.19714347521465,0.011559327443440756
MI_MLP_Top10,Smooth,10,8.594071957425559,0.6516686757233153,6.136394946475431,0.35253349232154274,31.714190184333315,2.2277391967852824,0.5615463645844924,0.07335194469541795,113.19714347521465,0.011559327443440756
MLP_All,All_Regimes,132,10.395599140613923,1.8331809014861487,6.990095998530909,1.3509252654301227,81.60908640276308,9.479005839394373,0.3811308898294124,0.22322463046747693,189.1561754544576,0.023459672927856445
MLP_All,Erratic,132,9.00054924600284,1.631566367407931,6.249370513095596,1.7035186050867506,108.86943077217506,6.345505379665962,-0.1576901573055199,0.67324837031545,189.1561754544576,0.023459672927856445
MLP_All,Intermittent,132,13.567687164507044,3.0431575260178465,9.04774277394847,1.8546020540275525,73.52580621767144,19.06119031269992,0.2158897526351051,0.2712790889672454,189.1561754544576,0.023459672927856445
MLP_All,Lumpy,132,8.810458813117604,1.0161637742995397,6.091598952894189,1.1320453983180778,108.63191688036693,8.828179672818623,-0.03898796268732015,0.2544947375359562,189.1561754544576,0.023459672927856445
MLP_All,Smooth,132,9.362749874728555,1.825309648153753,6.571671754185384,1.0431749276421636,35.409191740838835,7.783885373887994,0.4674802492619397,0.22080928667500888,189.1561754544576,0.023459672927856445
Ridge_All,All_Regimes,132,8.928705127837146,0.3737704422294773,6.073116663821771,0.09489455425122037,67.90577852464651,2.3880264163205647,0.5528173187069777,0.0411481159975176,2.5886263052622476,0.04000282287597656
Ridge_All,Erratic,132,8.169489441324805,0.2716322399284379,5.7399053098967885,0.38856057353269435,91.31057888315463,8.228041605833754,0.11668678497603065,0.15531560754912324,2.5886263052622476,0.04000282287597656
Ridge_All,Intermittent,132,10.692709691600058,0.8558515480898852,6.843134796209494,0.33174533355955066,50.04809753875443,6.188291391058532,0.518972168550485,0.03465379453350062,2.5886263052622476,0.04000282287597656
Ridge_All,Lumpy,132,8.25235124414664,0.5185090154302718,5.74504740997583,0.30209589342438686,99.72298722717873,9.016759527821236,0.09613182871561247,0.11004662254211002,2.5886263052622476,0.04000282287597656
Ridge_All,Smooth,132,8.317780021056072,0.5218291517401366,5.964379139204968,0.2224506001039007,30.541450449498257,1.6777147682991014,0.5898887810537935,0.05762274982478562,2.5886263052622476,0.04000282287597656
