model,n_features,feature_set,RMSE_mean,MAE_mean,sMAPE_mean,R2_mean,training_time_mean,prediction_time_mean,horizon,TOPSIS_D_plus,TOPSIS_D_minus,TOPSIS_closeness,TOPSIS_rank
Ridge_All,60,All,279.5005268700512,169.38008969749532,16.16881292156368,0.9302675017860135,0.25484886169433585,0.005964481830596825,Overall,0.0719670929297412,0.20646431650162053,0.7415266723051809,1
Boosting_All,60,All,220.64872557941214,132.9139581120777,12.250068076626635,0.9587801380007861,4.874177360534668,0.018229103088378825,Overall,0.0713860622945696,0.19752200609934514,0.7345335797409657,2
MI_MLP_Top10,10,Top10,287.3851560912886,170.21652886660823,14.552670648372354,0.9264226389732114,56.13005846738815,0.00497353076934805,Overall,0.10074384026650268,0.13075210412493432,0.5648138003803664,3
MI_MLP_Top20,20,Top20,287.40140374056205,169.20751581800383,14.417195181427545,0.927046452743844,65.98149312734604,0.006670117378234775,Overall,0.11873104088071536,0.10904157111301749,0.47872994983057504,4
MI_MLP_Top15,15,Top15,288.1826409128127,170.1328305927302,14.555175214497748,0.9263529205648467,74.22399245500566,0.005267989635467425,Overall,0.1325777716621194,0.10241579031384317,0.43582381343657167,5
MLP_All,60,All,247.4976538460538,144.3094988485458,13.033918648976949,0.9435550956300929,80.0101806640625,0.0088220834732055,Overall,0.1577558204030484,0.07134880431270958,0.31142454850450135,6
RandomForest_All,60,All,254.32859083945394,145.27323058027042,12.627635657691961,0.9409870072893544,115.02136476039887,0.042247295379638575,Overall,0.21821036028973276,0.011839443580594501,0.05146469756269214,7
